#signalNumber pressure[MPa] length[mm]
424 0.289335 97.909877
425 0.426369 97.876053
426 0.226052 99.312759
427 0.092108 106.187065
428 0.050616 107.627002
429 0.286961 104.938798
430 0.078436 106.921529
431 0.354896 102.551795
432 0.208255 101.722305
433 0.386894 99.799177
434 0.25987 99.87971
435 0.466738 97.473389
436 0.429192 97.47661
437 0.424566 97.454061
438 0.162824 103.221831
439 0.082019 106.557518
440 0.300951 104.257487
441 0.340358 102.939965
442 0.053036 106.303033
443 0.199088 106.005059
444 0.420369 101.152131
445 0.264315 101.208504
446 0.426025 98.795738
447 0.399835 98.786074
448 0.276966 98.839225
449 0.095932 105.939022
450 0.332081 103.046268
451 0.399603 99.588181
452 0.493097 96.466729
453 0.472313 96.497332
454 0.445511 96.51666
455 0.132609 104.476538
456 0.065488 107.077764
457 0.463611 99.411009
458 0.315689 98.051614
459 0.398835 98.008127
460 0.040125 107.314532
461 0.481686 98.710373
462 0.074907 106.203171
463 0.430804 100.92986
464 0.09971 105.106308
465 0.248143 104.561903
466 0.491652 97.289774
467 0.266509 97.864778
468 0.228519 99.02284
469 0.133937 104.462042
470 0.421703 100.348412
471 0.003073 107.620559
472 0.145863 107.673712
473 0.057108 107.704314
474 0.224903 106.351353
475 0.323349 103.911195
476 0.485803 96.072119
477 0.081117 106.085593
478 0.35065 102.754739
479 0.399193 99.066328
480 0.158356 101.75935
481 0.259474 102.429385
482 0.273099 102.397172
483 0.440713 98.97291
484 0.100408 104.624719
485 0.124554 104.684313
486 0.447371 99.836222
487 0.123703 103.896699
488 0.282212 102.667763
489 0.286038 102.646824
490 0.35818 100.821946
491 0.173372 102.640382
492 0.06259 107.161519
493 0.239351 105.757017
494 0.283225 104.677871
495 0.476119 96.724434
496 0.393618 96.660008
497 0.227812 98.887545
498 0.161685 103.310417
499 0.343325 101.672374
500 0.220337 101.78351
501 0.072517 106.177401
502 0.060445 107.290372
503 0.30788 104.326746
504 0.29359 104.350906
505 0.452744 97.069114
506 0.053862 106.697646
507 0.360913 102.791784
508 0.342284 101.303533
509 0.290143 101.27132
510 0.475257 97.608684
511 0.05719 106.509198
512 0.352787 102.790173
513 0.131222 104.692367
514 0.459835 96.780807
515 0.482074 95.790255
516 0.331199 95.943267
517 0.297421 96.721213
518 0.332009 96.680946
519 0.436574 96.624574
520 0.196965 101.364738
521 0.27763 101.32125
522 0.282827 101.380845
523 0.359374 100.549744
524 0.355412 100.477265
525 0.113785 104.495866
526 0.284903 103.279815
527 0.294689 103.228273
528 0.299966 103.239548
529 0.468475 99.07116
530 0.48117 96.577865
531 0.107327 104.91786
532 0.221409 104.763236
533 0.477215 98.407569
534 0.346503 97.177028
535 0.250249 98.318983
536 0.352056 98.191741
537 0.16219 103.078482
538 0.418845 99.823337
539 0.473157 96.682557
540 0.21917 98.887545
541 0.192137 101.398562
542 0.060865 107.016559
543 0.311264 103.92569
544 0.116118 105.969625
545 0.062124 107.367684
546 0.405732 98.987406
547 0.046512 107.055215
548 0.125812 107.401508
549 0.355253 103.115527
550 0.25 103.117138
551 0.439567 97.837397
552 0.298158 97.816458
553 0.250162 98.818287
554 0.310179 98.803791
555 0.030601 107.734917
556 0.093444 107.857328
557 0.16995 107.4305
558 0.220261 106.533358
559 0.210871 106.51242
560 0.35417 101.46621
561 0.290783 101.44366
562 0.099796 105.881038
563 0.241634 105.035438
564 0.443875 100.238887
565 0.37029 98.654
566 0.493515 96.294389
567 0.241385 98.285159
568 0.397826 97.827733
569 0.095289 106.001838
570 0.292809 103.965957
571 0.346793 102.593672
572 0.409901 99.475435
573 0.019953 107.327418
574 0.149423 107.246884
575 0.396227 102.131413
576 0.152545 102.915805
577 0.126876 105.067652
578 0.227862 104.713305
579 0.28045 103.719526
580 0.2747 103.713083
581 0.312339 103.221831
582 0.38315 101.131192
583 0.379351 100.12292
